platform,sceneid,productid,acqdate,tileid
Sentinel 2,S2B_MSIL1C_20180823T075559_N0206_R035_T39VVC_20180823T101843,f541e7e5-6123-4808-8204-531103ac5a19,2018-08-23 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180823T075559_N0206_R035_T39VUC_20180823T101843,df650f78-b434-4179-9af6-9a23f8e0f7be,2018-08-23 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180823T075559_N0206_R035_T39UVB_20180823T101843,80b2930e-d79f-4402-993d-0c9563b94c46,2018-08-23 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180823T075559_N0206_R035_T39UUB_20180823T101843,88c1f0f1-912a-426b-bc0c-c5d35ade0393,2018-08-23 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180820T074609_N0206_R135_T39VVC_20180820T100938,1ba4b420-15c4-421e-8403-af62d213e3dc,2018-08-20 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180820T074609_N0206_R135_T39VUC_20180820T100938,e5eca0ed-22b9-4a61-a5c7-3b9ffaeefc65,2018-08-20 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180820T074609_N0206_R135_T39UVB_20180820T100938,08b16ee9-bbbd-4d5d-a7a0-d34aa842f5f7,2018-08-20 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180820T074609_N0206_R135_T39UUB_20180820T100938,9d9bcb3b-33c1-44e9-ab09-76e0071f61f5,2018-08-20 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180818T075611_N0206_R035_T39UUB_20180818T092129,5b3ddddd-6bc6-4d31-a651-d0f28cb2a099,2018-08-18 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180818T075611_N0206_R035_T39UVB_20180818T092129,8f29f05d-fca5-4656-a8a7-7df1f97278b2,2018-08-18 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180818T075611_N0206_R035_T39VVC_20180818T092129,eac83e03-3384-432d-89f5-0e68ddea9ac6,2018-08-18 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180818T075611_N0206_R035_T39VUC_20180818T092129,1921f91b-5cbc-4949-9e92-a8043238b98a,2018-08-18 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180815T074721_N0206_R135_T39VVC_20180816T153416,e0ed0b15-d282-48e8-8c66-5bbe0e61f01f,2018-08-15 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180815T074721_N0206_R135_T39VUC_20180816T153416,e9b8c0a1-8aa6-47c7-a6b7-5d7412f3a1ea,2018-08-15 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180815T074721_N0206_R135_T39UUB_20180816T153416,577b9f95-3f12-4248-8e18-864d1ca9ade0,2018-08-15 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180815T074721_N0206_R135_T39UVB_20180816T153416,acf0c9e8-35b4-4efb-b5d5-4a46b9697f3d,2018-08-15 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180813T075609_N0206_R035_T39UVB_20180813T121256,0431ce55-7ad9-4f4b-94e3-a943f0e69b15,2018-08-13 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180813T075609_N0206_R035_T39VVC_20180813T101633,8e3ffc89-b351-4d7f-84ce-d2c1b6d46ea6,2018-08-13 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180813T075609_N0206_R035_T39UUB_20180813T101633,6ae8db38-1064-4068-ad9e-0e7dcfa8a95b,2018-08-13 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180813T075609_N0206_R035_T39UVB_20180813T101633,0056cc48-161a-40bf-96cc-2e38a4785869,2018-08-13 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180810T074609_N0206_R135_T39VVC_20180810T101945,ac719db8-439c-40dd-8b1b-29dcec8d99e5,2018-08-10 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180810T074609_N0206_R135_T39VUC_20180810T101945,ba2952f2-c1ff-4986-a1d1-99982bffea10,2018-08-10 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180810T074609_N0206_R135_T39UVB_20180810T101945,f1a59e71-ce62-422f-8c79-f006327c79a6,2018-08-10 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180810T074609_N0206_R135_T39UUB_20180810T101945,f2a137e2-67af-4fbf-9a9b-0a5e26062876,2018-08-10 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180805T074611_N0206_R135_T39VUC_20180805T091511,d1bff643-26ea-414b-b61c-1c85791f91ba,2018-08-05 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180805T074611_N0206_R135_T39UUB_20180805T091511,6c54c4ef-412d-4125-b5e1-48badd04228e,2018-08-05 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180803T075609_N0206_R035_T39VUC_20180803T101555,3e2e269b-c9e3-40ce-a70e-5fdb0049060f,2018-08-03 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180803T075609_N0206_R035_T39VVC_20180803T101555,ed2bf7cf-fbdb-43cf-8d92-5183a839a49a,2018-08-03 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180803T075609_N0206_R035_T39UVB_20180803T101555,ca0b2f33-d437-43dd-a9b9-b2e665776f9f,2018-08-03 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180803T075609_N0206_R035_T39UUB_20180803T101555,dd8c6ae0-5819-438d-82f3-91ebdf2d2bd8,2018-08-03 00:00:00,T39UUB
